5 Minutes	Lane 1 Flow (Veh/5 Minutes)	Lane 2 Flow (Veh/5 Minutes)	Flow (Veh/5 Minutes)	# Lane Points	% Observed
09/02/2015 07:30	14	16	30	2	100
09/02/2015 07:35	16	22	38	2	100
09/02/2015 07:40	8	19	27	2	100
09/02/2015 07:45	24	30	54	2	100
09/02/2015 07:50	21	24	45	2	100
09/02/2015 07:55	18	24	42	2	100
09/02/2015 08:00	10	18	28	2	100
09/02/2015 08:05	18	24	42	2	100
09/02/2015 08:10	22	29	51	2	100
09/02/2015 08:15	9	19	28	2	100
09/02/2015 08:20	17	24	41	2	100
09/02/2015 08:25	11	18	29	2	100
09/02/2015 08:30	25	25	50	2	100
09/02/2015 08:35	13	17	30	2	100
09/02/2015 08:40	9	23	32	2	100
09/02/2015 08:45	17	27	44	2	100
09/02/2015 08:50	13	18	31	2	100
09/02/2015 08:55	13	25	38	2	100
09/02/2015 09:00	13	25	38	2	100
09/02/2015 09:05	11	26	37	2	100
09/02/2015 09:10	4	19	23	2	100
09/02/2015 09:15	9	24	33	2	100
09/02/2015 09:20	17	23	40	2	100
09/02/2015 09:25	7	32	39	2	100
09/02/2015 09:30	10	27	37	2	100
09/02/2015 09:35	4	31	35	2	100
09/02/2015 09:40	4	22	26	2	100
09/02/2015 09:45	9	30	39	2	100
09/02/2015 09:50	8	26	34	2	100
09/02/2015 09:55	2	20	22	2	100
09/02/2015 10:00	9	29	38	2	100
09/02/2015 10:05	8	21	29	2	100
09/02/2015 10:10	8	25	33	2	100
09/02/2015 10:15	9	38	47	2	100
09/02/2015 10:20	6	38	44	2	100
09/02/2015 10:25	7	26	33	2	100
09/02/2015 10:30	9	36	45	2	100
09/02/2015 10:35	4	26	30	2	100
09/02/2015 10:40	7	37	44	2	100
09/02/2015 10:45	10	27	37	2	100
09/02/2015 10:50	10	25	35	2	100
09/02/2015 10:55	12	34	46	2	100
09/02/2015 11:00	9	32	41	2	100
09/02/2015 11:05	6	43	49	2	100
09/02/2015 11:10	4	26	30	2	100
09/02/2015 11:15	11	36	47	2	100
09/02/2015 11:20	9	36	45	2	100
09/02/2015 11:25	9	48	57	2	100
09/02/2015 11:30	10	25	35	2	100
09/02/2015 11:35	9	48	57	2	100
09/02/2015 11:40	10	43	53	2	100
09/02/2015 11:45	10	33	43	2	100
09/02/2015 11:50	6	43	49	2	100
09/02/2015 11:55	7	27	34	2	100
09/02/2015 12:00	13	46	59	2	100
09/02/2015 12:05	13	40	53	2	100
09/02/2015 12:10	16	31	47	2	100
09/02/2015 12:15	11	50	61	2	100
09/02/2015 12:20	7	33	40	2	100
09/02/2015 12:25	11	39	50	2	100
09/02/2015 12:30	7	44	51	2	100
09/02/2015 12:35	9	38	47	2	100
09/02/2015 12:40	14	32	46	2	100
09/02/2015 12:45	11	41	52	2	100
09/02/2015 12:50	18	56	74	2	100
09/02/2015 12:55	7	43	50	2	100
09/02/2015 13:00	11	39	50	2	100
09/02/2015 13:05	1	42	43	2	100
09/02/2015 13:10	9	51	60	2	100
09/02/2015 13:15	8	40	48	2	100
09/02/2015 13:20	17	50	67	2	100
09/02/2015 13:25	6	28	34	2	100
09/02/2015 13:30	11	36	47	2	100
09/02/2015 13:35	17	46	63	2	100
09/02/2015 13:40	12	39	51	2	100
09/02/2015 13:45	10	34	44	2	100
09/02/2015 13:50	8	45	53	2	100
09/02/2015 13:55	8	31	39	2	100
09/02/2015 14:00	6	34	40	2	100
09/02/2015 14:05	20	51	71	2	100
09/02/2015 14:10	15	36	51	2	100
09/02/2015 14:15	3	39	42	2	100
09/02/2015 14:20	11	50	61	2	100
09/02/2015 14:25	9	40	49	2	100
09/02/2015 14:30	10	23	33	2	100
09/02/2015 14:35	28	27	55	2	100
09/02/2015 14:40	27	30	57	2	100
09/02/2015 14:45	28	28	56	2	100
09/02/2015 14:50	28	29	57	2	100
09/02/2015 14:55	28	30	58	2	100
09/02/2015 15:00	19	29	48	2	100
09/02/2015 15:05	32	27	59	2	100
09/02/2015 15:10	17	25	42	2	100
09/02/2015 15:15	21	27	48	2	100
09/02/2015 15:20	19	29	48	2	100
09/02/2015 15:25	23	27	50	2	100
09/02/2015 15:30	28	28	56	2	100
09/02/2015 15:35	26	31	57	2	100
09/02/2015 15:40	30	28	58	2	100
09/02/2015 15:45	27	29	56	2	100
09/02/2015 15:50	22	25	47	2	100
09/02/2015 15:55	23	28	51	2	100
09/02/2015 16:00	23	27	50	2	100
09/02/2015 16:05	30	28	58	2	100
09/02/2015 16:10	26	30	56	2	100
09/02/2015 16:15	29	30	59	2	100
09/02/2015 16:20	29	26	55	2	100
09/02/2015 16:25	28	28	56	2	100
09/02/2015 16:30	25	27	52	2	100
09/02/2015 16:35	31	26	57	2	100
09/02/2015 16:40	28	29	57	2	100
09/02/2015 16:45	27	28	55	2	100
09/02/2015 16:50	28	27	55	2	100
09/02/2015 16:55	27	29	56	2	100
09/02/2015 17:00	29	27	56	2	100
09/02/2015 17:05	27	27	54	2	100
09/02/2015 17:10	27	29	56	2	100
09/02/2015 17:15	29	27	56	2	100
09/02/2015 17:20	27	26	53	2	100
09/02/2015 17:25	28	27	55	2	100
09/02/2015 17:30	30	27	57	2	100
09/02/2015 17:35	26	29	55	2	100
09/02/2015 17:40	29	28	57	2	100
09/02/2015 17:45	26	26	52	2	100
09/02/2015 17:50	21	26	47	2	100
09/02/2015 17:55	17	25	42	2	100
09/02/2015 18:00	5	31	36	2	100
09/02/2015 18:05	15	40	55	2	100
09/02/2015 18:10	12	39	51	2	100
09/02/2015 18:15	10	49	59	2	100
09/02/2015 18:20	8	28	36	2	100
09/02/2015 18:25	14	47	61	2	100
09/02/2015 18:30	9	27	36	2	100
09/02/2015 18:35	8	43	51	2	100
09/02/2015 18:40	12	32	44	2	100
09/02/2015 18:45	4	26	30	2	100
09/02/2015 18:50	6	33	39	2	100
09/02/2015 18:55	5	22	27	2	100
09/02/2015 19:00	8	34	42	2	100
09/02/2015 19:05	4	29	33	2	100
09/02/2015 19:10	8	31	39	2	100
09/02/2015 19:15	14	28	42	2	100
09/02/2015 19:20	14	33	47	2	100
09/02/2015 19:25	2	30	32	2	100
09/02/2015 19:30	10	30	40	2	100
09/02/2015 19:35	10	32	42	2	100
09/02/2015 19:40	6	31	37	2	100
09/02/2015 19:45	11	27	38	2	100
09/02/2015 19:50	9	30	39	2	100
09/02/2015 19:55	8	32	40	2	100
09/02/2015 20:00	12	33	45	2	100
09/02/2015 20:05	12	34	46	2	100
09/02/2015 20:10	3	23	26	2	100
09/02/2015 20:15	4	28	32	2	100
09/02/2015 20:20	7	19	26	2	100
09/02/2015 20:25	9	36	45	2	100
09/02/2015 20:30	3	26	29	2	100
09/02/2015 20:35	13	40	53	2	100
09/02/2015 20:40	14	32	46	2	100
09/02/2015 20:45	17	32	49	2	100
09/02/2015 20:50	7	26	33	2	100
09/02/2015 20:55	6	29	35	2	100
09/02/2015 21:00	5	20	25	2	100
09/02/2015 21:05	6	20	26	2	100
09/02/2015 21:10	10	33	43	2	100
09/02/2015 21:15	11	25	36	2	100
09/02/2015 21:20	9	23	32	2	100
09/02/2015 21:25	6	28	34	2	100
09/02/2015 21:30	4	17	21	2	100
09/02/2015 21:35	7	19	26	2	100
09/02/2015 21:40	8	22	30	2	100
09/02/2015 21:45	3	24	27	2	100
09/02/2015 21:50	5	27	32	2	100
09/02/2015 21:55	2	14	16	2	100
09/02/2015 22:00	3	21	24	2	100
09/02/2015 22:05	4	16	20	2	100
09/02/2015 22:10	1	19	20	2	100
09/02/2015 22:15	1	27	28	2	100
09/02/2015 22:20	5	22	27	2	100
09/02/2015 22:25	2	13	15	2	100
09/02/2015 22:30	0	12	12	2	100
09/02/2015 22:35	3	11	14	2	100
09/02/2015 22:40	3	14	17	2	100
09/02/2015 22:45	4	15	19	2	100
09/02/2015 22:50	1	12	13	2	100
09/02/2015 22:55	0	7	7	2	100
09/02/2015 23:00	1	5	6	2	100
09/02/2015 23:05	1	12	13	2	100
09/02/2015 23:10	2	8	10	2	100
09/02/2015 23:15	0	5	5	2	100
09/02/2015 23:20	0	8	8	2	100
09/02/2015 23:25	0	4	4	2	100
09/02/2015 23:30	2	6	8	2	100
09/02/2015 23:35	0	8	8	2	100
09/02/2015 23:40	0	6	6	2	100
09/02/2015 23:45	3	7	10	2	100
09/02/2015 23:50	0	6	6	2	100
09/02/2015 23:55	1	6	7	2	100
