5 Minutes	Lane 1 Flow (Veh/5 Minutes)	Flow (Veh/5 Minutes)	# Lane Points	% Observed
09/02/2015 14:05	44	44	1	100
09/02/2015 14:10	35	35	1	100
09/02/2015 14:15	29	29	1	100
09/02/2015 14:20	36	36	1	100
09/02/2015 14:25	33	33	1	100
09/02/2015 14:30	31	31	1	100
09/02/2015 14:35	44	44	1	100
09/02/2015 14:40	42	42	1	100
09/02/2015 14:45	46	46	1	100
09/02/2015 14:50	45	45	1	100
09/02/2015 14:55	38	38	1	100
09/02/2015 15:00	42	42	1	100
09/02/2015 15:05	40	40	1	100
09/02/2015 15:10	33	33	1	100
09/02/2015 15:15	39	39	1	100
09/02/2015 15:20	44	44	1	100
09/02/2015 15:25	38	38	1	100
09/02/2015 15:30	45	45	1	100
09/02/2015 15:35	44	44	1	100
09/02/2015 15:40	47	47	1	100
09/02/2015 15:45	40	40	1	100
09/02/2015 15:50	44	44	1	100
09/02/2015 15:55	32	32	1	100
09/02/2015 16:00	43	43	1	100
09/02/2015 16:05	45	45	1	100
09/02/2015 16:10	44	44	1	100
09/02/2015 16:15	41	41	1	100
09/02/2015 16:20	45	45	1	100
09/02/2015 16:25	43	43	1	100
09/02/2015 16:30	38	38	1	100
09/02/2015 16:35	43	43	1	100
09/02/2015 16:40	46	46	1	100
09/02/2015 16:45	45	45	1	100
09/02/2015 16:50	38	38	1	100
09/02/2015 16:55	43	43	1	100
09/02/2015 17:00	39	39	1	100
09/02/2015 17:05	48	48	1	100
09/02/2015 17:10	41	41	1	100
09/02/2015 17:15	43	43	1	100
09/02/2015 17:20	45	45	1	100
09/02/2015 17:25	45	45	1	100
09/02/2015 17:30	43	43	1	100
09/02/2015 17:35	41	41	1	100
09/02/2015 17:40	30	30	1	100
09/02/2015 17:45	35	35	1	100
09/02/2015 17:50	28	28	1	100
09/02/2015 17:55	26	26	1	100
09/02/2015 18:00	34	34	1	100
09/02/2015 18:05	32	32	1	100
09/02/2015 18:10	36	36	1	100
09/02/2015 18:15	22	22	1	100
09/02/2015 18:20	21	21	1	100
09/02/2015 18:25	27	27	1	100
09/02/2015 18:30	32	32	1	100
09/02/2015 18:35	31	31	1	100
09/02/2015 18:40	24	24	1	100
09/02/2015 18:45	34	34	1	100
09/02/2015 18:50	19	19	1	100
09/02/2015 18:55	18	18	1	100
09/02/2015 19:00	18	18	1	100
09/02/2015 19:05	27	27	1	100
09/02/2015 19:10	27	27	1	100
09/02/2015 19:15	24	24	1	100
09/02/2015 19:20	32	32	1	100
09/02/2015 19:25	26	26	1	100
09/02/2015 19:30	29	29	1	100
09/02/2015 19:35	27	27	1	100
09/02/2015 19:40	22	22	1	100
09/02/2015 19:45	28	28	1	100
09/02/2015 19:50	19	19	1	100
09/02/2015 19:55	18	18	1	100
09/02/2015 20:00	30	30	1	100
09/02/2015 20:05	17	17	1	100
09/02/2015 20:10	24	24	1	100
09/02/2015 20:15	33	33	1	100
09/02/2015 20:20	28	28	1	100
09/02/2015 20:25	17	17	1	100
09/02/2015 20:30	15	15	1	100
09/02/2015 20:35	14	14	1	100
09/02/2015 20:40	15	15	1	100
09/02/2015 20:45	26	26	1	100
09/02/2015 20:50	12	12	1	100
09/02/2015 20:55	23	23	1	100
09/02/2015 21:00	13	13	1	100
09/02/2015 21:05	12	12	1	100
09/02/2015 21:10	10	10	1	100
09/02/2015 21:15	15	15	1	100
09/02/2015 21:20	14	14	1	100
09/02/2015 21:25	11	11	1	100
09/02/2015 21:30	7	7	1	100
09/02/2015 21:35	4	4	1	100
09/02/2015 21:40	10	10	1	100
09/02/2015 21:45	11	11	1	100
09/02/2015 21:50	6	6	1	100
09/02/2015 21:55	8	8	1	100
09/02/2015 22:00	6	6	1	100
09/02/2015 22:05	1	1	1	100
09/02/2015 22:10	5	5	1	100
09/02/2015 22:15	3	3	1	100
09/02/2015 22:20	4	4	1	100
09/02/2015 22:25	3	3	1	100
09/02/2015 22:30	10	10	1	100
09/02/2015 22:35	11	11	1	100
09/02/2015 22:40	3	3	1	100
09/02/2015 22:45	4	4	1	100
09/02/2015 22:50	3	3	1	100
09/02/2015 22:55	2	2	1	100
09/02/2015 23:00	2	2	1	100
09/02/2015 23:05	7	7	1	100
09/02/2015 23:10	5	5	1	100
09/02/2015 23:15	5	5	1	100
09/02/2015 23:20	5	5	1	100
09/02/2015 23:25	3	3	1	100
09/02/2015 23:30	6	6	1	100
09/02/2015 23:35	6	6	1	100
09/02/2015 23:40	11	11	1	100
09/02/2015 23:45	2	2	1	100
09/02/2015 23:50	5	5	1	100
09/02/2015 23:55	2	2	1	100
