5 Minutes	Lane 1 Flow (Veh/5 Minutes)	Lane 2 Flow (Veh/5 Minutes)	Flow (Veh/5 Minutes)	# Lane Points	% Observed
09/03/2015 03:40	0	3	3	2	100
09/03/2015 03:45	0	3	3	2	100
09/03/2015 03:50	0	2	2	2	100
09/03/2015 03:55	0	2	2	2	100
09/03/2015 04:00	0	0	0	2	100
09/03/2015 04:05	1	4	5	2	100
09/03/2015 04:10	1	3	4	2	100
09/03/2015 04:15	0	1	1	2	100
09/03/2015 04:20	0	2	2	2	100
09/03/2015 04:25	0	1	1	2	100
09/03/2015 04:30	1	7	8	2	100
09/03/2015 04:35	0	3	3	2	100
09/03/2015 04:40	0	1	1	2	100
09/03/2015 04:45	2	5	7	2	100
09/03/2015 04:50	1	2	3	2	100
09/03/2015 04:55	1	3	4	2	100
09/03/2015 05:00	0	5	5	2	100
09/03/2015 05:05	1	8	9	2	100
09/03/2015 05:10	0	6	6	2	100
09/03/2015 05:15	0	4	4	2	100
09/03/2015 05:20	1	5	6	2	100
09/03/2015 05:25	1	7	8	2	100
09/03/2015 05:30	1	8	9	2	100
09/03/2015 05:35	0	7	7	2	100
09/03/2015 05:40	4	7	11	2	100
09/03/2015 05:45	1	12	13	2	100
09/03/2015 05:50	0	10	10	2	100
09/03/2015 05:55	2	10	12	2	100
09/03/2015 06:00	1	6	7	2	100
09/03/2015 06:05	4	15	19	2	100
09/03/2015 06:10	5	9	14	2	100
09/03/2015 06:15	1	10	11	2	100
09/03/2015 06:20	4	12	16	2	100
09/03/2015 06:25	2	11	13	2	100
09/03/2015 06:30	4	10	14	2	100
09/03/2015 06:35	5	15	20	2	100
09/03/2015 06:40	8	10	18	2	100
09/03/2015 06:45	8	14	22	2	100
09/03/2015 06:50	4	13	17	2	100
09/03/2015 06:55	9	15	24	2	100
09/03/2015 07:00	8	18	26	2	100
09/03/2015 07:05	7	20	27	2	100
09/03/2015 07:10	9	15	24	2	100
09/03/2015 07:15	16	23	39	2	100
09/03/2015 07:20	14	24	38	2	100
09/03/2015 07:25	12	15	27	2	100
09/03/2015 07:30	15	21	36	2	100
09/03/2015 07:35	16	23	39	2	100
09/03/2015 07:40	15	20	35	2	100
09/03/2015 07:45	12	21	33	2	100
09/03/2015 07:50	24	25	49	2	100
09/03/2015 07:55	19	24	43	2	100
09/03/2015 08:00	15	21	36	2	100
09/03/2015 08:05	10	18	28	2	100
09/03/2015 08:10	21	26	47	2	100
09/03/2015 08:15	20	20	40	2	100
09/03/2015 08:20	27	34	61	2	100
09/03/2015 08:25	20	27	47	2	100
09/03/2015 08:30	18	26	44	2	100
09/03/2015 08:35	7	20	27	2	100
09/03/2015 08:40	14	27	41	2	100
09/03/2015 08:45	14	25	39	2	100
09/03/2015 08:50	9	20	29	2	100
09/03/2015 08:55	11	17	28	2	100
09/03/2015 09:00	10	28	38	2	100
09/03/2015 09:05	5	26	31	2	100
09/03/2015 09:10	9	25	34	2	100
09/03/2015 09:15	8	23	31	2	100
09/03/2015 09:20	10	21	31	2	100
09/03/2015 09:25	1	31	32	2	100
09/03/2015 09:30	12	40	52	2	100
09/03/2015 09:35	6	27	33	2	100
09/03/2015 09:40	12	38	50	2	100
09/03/2015 09:45	6	29	35	2	100
09/03/2015 09:50	11	34	45	2	100
09/03/2015 09:55	9	31	40	2	100
09/03/2015 10:00	5	25	30	2	100
09/03/2015 10:05	7	25	32	2	100
09/03/2015 10:10	10	29	39	2	100
09/03/2015 10:15	9	31	40	2	100
09/03/2015 10:20	9	28	37	2	100
09/03/2015 10:25	5	33	38	2	100
09/03/2015 10:30	6	29	35	2	100
09/03/2015 10:35	9	46	55	2	100
09/03/2015 10:40	7	33	40	2	100
09/03/2015 10:45	9	38	47	2	100
09/03/2015 10:50	15	49	64	2	100
09/03/2015 10:55	10	34	44	2	100
09/03/2015 11:00	3	35	38	2	100
09/03/2015 11:05	12	39	51	2	100
09/03/2015 11:10	7	40	47	2	100
09/03/2015 11:15	6	31	37	2	100
09/03/2015 11:20	6	29	35	2	100
09/03/2015 11:25	4	41	45	2	100
09/03/2015 11:30	13	35	48	2	100
09/03/2015 11:35	16	50	66	2	100
09/03/2015 11:40	8	44	52	2	100
09/03/2015 11:45	14	44	58	2	100
09/03/2015 11:50	10	43	53	2	100
09/03/2015 11:55	12	42	54	2	100
09/03/2015 12:00	11	43	54	2	100
09/03/2015 12:05	8	42	50	2	100
09/03/2015 12:10	21	38	59	2	100
09/03/2015 12:15	12	46	58	2	100
09/03/2015 12:20	13	49	62	2	100
09/03/2015 12:25	4	30	34	2	100
09/03/2015 12:30	11	47	58	2	100
09/03/2015 12:35	9	41	50	2	100
09/03/2015 12:40	8	26	34	2	100
09/03/2015 12:45	8	30	38	2	100
09/03/2015 12:50	16	42	58	2	100
09/03/2015 12:55	8	30	38	2	100
09/03/2015 13:00	17	44	61	2	100
09/03/2015 13:05	11	43	54	2	100
09/03/2015 13:10	10	37	47	2	100
09/03/2015 13:15	10	39	49	2	100
09/03/2015 13:20	9	33	42	2	100
09/03/2015 13:25	13	33	46	2	100
09/03/2015 13:30	7	34	41	2	100
09/03/2015 13:35	9	46	55	2	100
09/03/2015 13:40	3	33	36	2	100
09/03/2015 13:45	13	47	60	2	100
09/03/2015 13:50	12	39	51	2	100
09/03/2015 13:55	9	33	42	2	100
09/03/2015 14:00	14	39	53	2	100
09/03/2015 14:05	7	40	47	2	100
09/03/2015 14:10	15	43	58	2	100
09/03/2015 14:15	9	40	49	2	100
09/03/2015 14:20	15	48	63	2	100
09/03/2015 14:25	9	38	47	2	100
09/03/2015 14:30	22	25	47	2	100
09/03/2015 14:35	21	30	51	2	100
09/03/2015 14:40	25	31	56	2	100
09/03/2015 14:45	29	27	56	2	100
09/03/2015 14:50	27	27	54	2	100
09/03/2015 14:55	28	33	61	2	100
09/03/2015 15:00	26	28	54	2	100
09/03/2015 15:05	21	30	51	2	100
09/03/2015 15:10	24	29	53	2	100
09/03/2015 15:15	27	27	54	2	100
09/03/2015 15:20	14	22	36	2	100
09/03/2015 15:25	12	24	36	2	100
09/03/2015 15:30	17	28	45	2	100
09/03/2015 15:35	23	30	53	2	100
09/03/2015 15:40	19	26	45	2	100
09/03/2015 15:45	23	26	49	2	100
09/03/2015 15:50	20	25	45	2	100
09/03/2015 15:55	23	29	52	2	100
09/03/2015 16:00	15	23	38	2	100
09/03/2015 16:05	31	26	57	2	100
09/03/2015 16:10	30	28	58	2	100
09/03/2015 16:15	28	29	57	2	100
09/03/2015 16:20	29	29	58	2	100
09/03/2015 16:25	19	23	42	2	100
09/03/2015 16:30	27	27	54	2	100
09/03/2015 16:35	27	30	57	2	100
09/03/2015 16:40	29	28	57	2	100
09/03/2015 16:45	27	27	54	2	100
09/03/2015 16:50	29	31	60	2	100
09/03/2015 16:55	30	28	58	2	100
09/03/2015 17:00	28	28	56	2	100
09/03/2015 17:05	27	28	55	2	100
09/03/2015 17:10	30	28	58	2	100
09/03/2015 17:15	27	29	56	2	100
09/03/2015 17:20	28	28	56	2	100
09/03/2015 17:25	29	28	57	2	100
09/03/2015 17:30	26	29	55	2	100
09/03/2015 17:35	28	29	57	2	100
09/03/2015 17:40	17	25	42	2	100
09/03/2015 17:45	24	27	51	2	100
09/03/2015 17:50	20	27	47	2	100
09/03/2015 17:55	23	29	52	2	100
09/03/2015 18:00	15	39	54	2	100
09/03/2015 18:05	18	40	58	2	100
09/03/2015 18:10	12	34	46	2	100
09/03/2015 18:15	20	31	51	2	100
09/03/2015 18:20	2	28	30	2	100
09/03/2015 18:25	10	36	46	2	100
09/03/2015 18:30	5	26	31	2	100
09/03/2015 18:35	7	31	38	2	100
09/03/2015 18:40	2	23	25	2	100
09/03/2015 18:45	6	32	38	2	100
09/03/2015 18:50	7	28	35	2	100
09/03/2015 18:55	10	29	39	2	100
09/03/2015 19:00	11	19	30	2	100
09/03/2015 19:05	11	38	49	2	100
09/03/2015 19:10	12	44	56	2	100
09/03/2015 19:15	8	35	43	2	100
09/03/2015 19:20	8	29	37	2	100
09/03/2015 19:25	6	28	34	2	100
09/03/2015 19:30	7	37	44	2	100
09/03/2015 19:35	11	39	50	2	100
09/03/2015 19:40	7	21	28	2	100
09/03/2015 19:45	7	35	42	2	100
09/03/2015 19:50	5	24	29	2	100
09/03/2015 19:55	4	38	42	2	100
09/03/2015 20:00	4	25	29	2	100
09/03/2015 20:05	8	32	40	2	100
09/03/2015 20:10	3	27	30	2	100
09/03/2015 20:15	7	36	43	2	100
09/03/2015 20:20	5	21	26	2	100
09/03/2015 20:25	9	25	34	2	100
09/03/2015 20:30	4	28	32	2	100
09/03/2015 20:35	5	24	29	2	100
09/03/2015 20:40	8	27	35	2	100
09/03/2015 20:45	7	27	34	2	100
09/03/2015 20:50	4	25	29	2	100
09/03/2015 20:55	5	28	33	2	100
09/03/2015 21:00	4	24	28	2	100
09/03/2015 21:05	5	29	34	2	100
09/03/2015 21:10	9	26	35	2	100
09/03/2015 21:15	5	32	37	2	100
09/03/2015 21:20	2	31	33	2	100
09/03/2015 21:25	1	29	30	2	100
09/03/2015 21:30	4	25	29	2	100
09/03/2015 21:35	5	29	34	2	100
09/03/2015 21:40	8	22	30	2	100
09/03/2015 21:45	7	26	33	2	100
09/03/2015 21:50	4	20	24	2	100
09/03/2015 21:55	3	28	31	2	100
09/03/2015 22:00	1	15	16	2	100
09/03/2015 22:05	12	34	46	2	100
09/03/2015 22:10	6	24	30	2	100
09/03/2015 22:15	4	20	24	2	100
09/03/2015 22:20	2	14	16	2	100
09/03/2015 22:25	4	12	16	2	100
09/03/2015 22:30	2	21	23	2	100
09/03/2015 22:35	4	18	22	2	100
09/03/2015 22:40	4	21	25	2	100
09/03/2015 22:45	3	9	12	2	100
09/03/2015 22:50	1	9	10	2	100
09/03/2015 22:55	5	9	14	2	100
09/03/2015 23:00	0	10	10	2	100
09/03/2015 23:05	4	11	15	2	100
09/03/2015 23:10	2	17	19	2	100
09/03/2015 23:15	0	11	11	2	100
09/03/2015 23:20	1	6	7	2	100
09/03/2015 23:25	0	7	7	2	100
09/03/2015 23:30	3	3	6	2	100
09/03/2015 23:35	2	8	10	2	100
09/03/2015 23:40	0	4	4	2	100
09/03/2015 23:45	1	9	10	2	100
09/03/2015 23:50	1	4	5	2	100
09/03/2015 23:55	0	3	3	2	100
