5 Minutes	Lane 1 Flow (Veh/5 Minutes)	Flow (Veh/5 Minutes)	# Lane Points	% Observed
09/03/2015 17:15	46	46	1	100
09/03/2015 17:20	45	45	1	100
09/03/2015 17:25	47	47	1	100
09/03/2015 17:30	39	39	1	100
09/03/2015 17:35	35	35	1	100
09/03/2015 17:40	42	42	1	100
09/03/2015 17:45	32	32	1	100
09/03/2015 17:50	21	21	1	100
09/03/2015 17:55	27	27	1	100
09/03/2015 18:00	35	35	1	100
09/03/2015 18:05	36	36	1	100
09/03/2015 18:10	37	37	1	100
09/03/2015 18:15	36	36	1	100
09/03/2015 18:20	38	38	1	100
09/03/2015 18:25	30	30	1	100
09/03/2015 18:30	23	23	1	100
09/03/2015 18:35	33	33	1	100
09/03/2015 18:40	17	17	1	100
09/03/2015 18:45	19	19	1	100
09/03/2015 18:50	31	31	1	100
09/03/2015 18:55	20	20	1	100
09/03/2015 19:00	24	24	1	100
09/03/2015 19:05	31	31	1	100
09/03/2015 19:10	24	24	1	100
09/03/2015 19:15	22	22	1	100
09/03/2015 19:20	30	30	1	100
09/03/2015 19:25	21	21	1	100
09/03/2015 19:30	27	27	1	100
09/03/2015 19:35	30	30	1	100
09/03/2015 19:40	32	32	1	100
09/03/2015 19:45	22	22	1	100
09/03/2015 19:50	21	21	1	100
09/03/2015 19:55	17	17	1	100
09/03/2015 20:00	34	34	1	100
09/03/2015 20:05	21	21	1	100
09/03/2015 20:10	28	28	1	100
09/03/2015 20:15	27	27	1	100
09/03/2015 20:20	25	25	1	100
09/03/2015 20:25	31	31	1	100
09/03/2015 20:30	19	19	1	100
09/03/2015 20:35	30	30	1	100
09/03/2015 20:40	21	21	1	100
09/03/2015 20:45	24	24	1	100
09/03/2015 20:50	26	26	1	100
09/03/2015 20:55	29	29	1	100
09/03/2015 21:00	16	16	1	100
09/03/2015 21:05	21	21	1	100
09/03/2015 21:10	15	15	1	100
09/03/2015 21:15	9	9	1	100
09/03/2015 21:20	23	23	1	100
09/03/2015 21:25	7	7	1	100
09/03/2015 21:30	10	10	1	100
09/03/2015 21:35	17	17	1	100
09/03/2015 21:40	16	16	1	100
09/03/2015 21:45	15	15	1	100
09/03/2015 21:50	1	1	1	100
09/03/2015 21:55	8	8	1	100
09/03/2015 22:00	11	11	1	100
09/03/2015 22:05	7	7	1	100
09/03/2015 22:10	13	13	1	100
09/03/2015 22:15	8	8	1	100
09/03/2015 22:20	3	3	1	100
09/03/2015 22:25	4	4	1	100
09/03/2015 22:30	10	10	1	100
09/03/2015 22:35	4	4	1	100
09/03/2015 22:40	6	6	1	100
09/03/2015 22:45	1	1	1	100
09/03/2015 22:50	0	0	1	100
09/03/2015 22:55	4	4	1	100
09/03/2015 23:00	4	4	1	100
09/03/2015 23:05	6	6	1	100
09/03/2015 23:10	3	3	1	100
09/03/2015 23:15	4	4	1	100
09/03/2015 23:20	5	5	1	100
09/03/2015 23:25	7	7	1	100
09/03/2015 23:30	2	2	1	100
09/03/2015 23:35	12	12	1	100
09/03/2015 23:40	5	5	1	100
09/03/2015 23:45	2	2	1	100
09/03/2015 23:50	2	2	1	100
09/03/2015 23:55	3	3	1	100
